市场|代码|名称|进入日期|进入时间|进入价
0|300189|神农种业|20260827|09:35|6.43
0|002437|誉衡药业|20260827|09:35|4.36
0|300910|瑞丰新材|20260827|01:06|27.28
1|600508|上海能源|20260827|01:06|11.45
1|600127|金健米业|20260827|09:36|10.55
0|300189|神农种业|20260827|09:36|6.36
0|002536|飞龙股份|20260827|09:36|51.85
0|002437|誉衡药业|20260827|09:36|4.38
1|600272|开开实业|20260827|09:36|22.56
1|600127|金健米业|20260827|09:36|10.78
0|300319|麦捷科技|20260827|09:36|18.49
0|300189|神农种业|20260827|09:36|6.36
0|002980|华盛昌|20260827|09:36|97.33
0|002536|飞龙股份|20260827|09:36|51.46
1|603580|艾艾精工|20260827|09:39|76.84
1|603538|美诺华|20260827|09:39|27.29
1|600313|农发种业|20260827|09:39|7.15
0|002491|通鼎互联|20260827|09:36|23.26
0|002437|誉衡药业|20260827|09:36|4.38
0|300319|麦捷科技|20260827|09:37|18.49
1|688300|联瑞新材|20260827|10:11|167.30
0|300189|神农种业|20260827|09:37|6.36
0|002980|华盛昌|20260827|09:37|97.33
0|002491|通鼎互联|20260827|09:37|23.26
1|600272|开开实业|20260827|09:39|22.56
0|300319|麦捷科技|20260827|09:39|18.33
0|300189|神农种业|20260827|09:39|6.42
0|002980|华盛昌|20260827|09:39|97.70
0|002437|誉衡药业|20260827|09:37|4.38
0|002437|誉衡药业|20260827|09:38|4.38
1|603580|艾艾精工|20260827|09:47|77.25
1|603538|美诺华|20260827|09:47|27.70
0|002491|通鼎互联|20260827|09:39|23.53
0|002104|恒宝股份|20260827|09:39|11.91
0|002017|东信和平|20260827|09:39|17.06
1|600313|农发种业|20260827|09:40|7.14
0|301520|万邦医药|20260827|09:40|82.44
0|301171|易点天下|20260827|09:40|36.00
1|603757|大元泵业|20260827|10:05|68.08
0|300684|中石科技|20260827|09:40|90.20
0|300313|天山生物|20260827|09:40|16.30
0|002980|华盛昌|20260827|09:40|97.70
0|002947|恒铭达|20260827|09:40|66.70
0|002491|通鼎互联|20260827|09:40|23.53
0|002104|恒宝股份|20260827|09:40|11.91
0|002041|登海种业|20260827|09:40|11.19
0|002017|东信和平|20260827|09:40|17.06
1|600313|农发种业|20260827|09:43|7.14
1|600664|哈药股份|20260827|09:42|8.46
0|301171|易点天下|20260827|09:43|35.43
0|300684|中石科技|20260827|09:43|89.00
0|301520|万邦医药|20260827|09:42|82.44
0|300313|天山生物|20260827|09:42|16.30
0|002980|华盛昌|20260827|09:42|97.70
0|002947|恒铭达|20260827|09:42|66.70
0|002491|通鼎互联|20260827|09:42|23.39
1|688143|长盈通|20260827|09:41|179.02
0|002041|登海种业|20260827|09:42|11.12
0|002017|东信和平|20260827|09:42|17.02
0|002104|恒宝股份|20260827|09:41|11.91
0|002716|湖南白银|20260827|09:43|11.81
1|600869|远东股份|20260827|09:47|17.90
0|002038|双鹭药业|20260827|09:43|6.54
0|002017|东信和平|20260827|09:43|17.02
0|000506|招金黄金|20260827|09:43|20.99
1|600498|烽火通信|20260827|09:45|40.92
1|600354|敦煌种业|20260827|09:45|7.32
0|301520|万邦医药|20260827|09:45|82.98
0|300615|欣天科技|20260827|09:45|14.75
0|002716|湖南白银|20260827|09:45|11.81
1|600664|哈药股份|20260827|09:44|8.54
0|002038|双鹭药业|20260827|09:44|6.54
0|002017|东信和平|20260827|09:44|17.02
0|000506|招金黄金|20260827|09:44|20.99
0|002536|飞龙股份|20260827|09:45|51.72
0|002038|双鹭药业|20260827|09:45|6.54
1|600785|新华百货|20260827|09:47|12.08
1|600498|烽火通信|20260827|09:47|41.44
0|002017|东信和平|20260827|09:45|17.02
1|600354|敦煌种业|20260827|09:46|7.32
0|301520|万邦医药|20260827|09:46|82.98
0|300085|银之杰|20260827|11:01|30.93
0|300615|欣天科技|20260827|09:46|14.75
0|002716|湖南白银|20260827|09:46|12.00
0|002536|飞龙股份|20260827|09:46|51.79
0|002038|双鹭药业|20260827|09:46|6.48
0|002017|东信和平|20260827|09:46|17.00
0|300489|光智科技|20260827|09:47|216.50
0|300319|麦捷科技|20260827|09:47|18.52
0|300302|同有科技|20260827|09:47|30.71
0|002980|华盛昌|20260827|09:47|97.94
0|002947|恒铭达|20260827|09:47|65.70
0|002716|湖南白银|20260827|09:47|12.00
0|002536|飞龙股份|20260827|09:47|51.76
1|603580|艾艾精工|20260827|09:48|78.04
1|603538|美诺华|20260827|09:48|27.65
1|603002|宏昌电子|20260827|09:48|16.51
1|600869|远东股份|20260827|09:48|18.00
1|600664|哈药股份|20260827|09:48|8.54
1|600498|烽火通信|20260827|09:48|41.44
1|600345|长江通信|20260827|10:01|50.16
1|600354|敦煌种业|20260827|09:48|7.31
1|600313|农发种业|20260827|09:48|7.20
0|301536|星宸科技|20260827|10:07|116.95
1|600105|永鼎股份|20260827|09:48|40.56
0|301520|万邦医药|20260827|09:48|82.81
0|301312|智立方|20260827|09:48|76.30
0|301171|易点天下|20260827|09:48|35.83
0|300970|华绿生物|20260827|09:48|20.54
0|300489|光智科技|20260827|09:48|216.50
0|300319|麦捷科技|20260827|09:48|18.52
1|688802|沐曦股份-U|20260827|09:58|683.32
0|300302|同有科技|20260827|09:48|30.71
0|002980|华盛昌|20260827|09:48|97.94
1|688559|海目星|20260827|09:54|55.81
0|002947|恒铭达|20260827|09:48|65.70
0|002716|湖南白银|20260827|09:48|12.00
1|603757|大元泵业|20260827|09:51|66.36
1|603580|艾艾精工|20260827|09:51|78.04
1|603538|美诺华|20260827|09:51|27.65
1|603002|宏昌电子|20260827|09:51|16.51
1|600869|远东股份|20260827|09:51|17.92
0|002536|飞龙股份|20260827|09:48|51.87
1|688300|联瑞新材|20260827|09:58|165.21
1|600498|烽火通信|20260827|09:51|42.20
1|600345|长江通信|20260827|09:51|50.00
1|600313|农发种业|20260827|09:51|7.09
1|600664|哈药股份|20260827|09:50|8.54
1|600105|永鼎股份|20260827|09:50|40.56
0|301536|星宸科技|20260827|09:50|116.72
0|301171|易点天下|20260827|09:51|35.86
0|300970|华绿生物|20260827|09:51|20.45
0|301312|智立方|20260827|09:50|76.30
